epoch,eval_BLEU_bleuP,eval_ROUGE_rouge1,eval_ROUGE_rouge2,eval_ROUGE_rougeL,eval_loss
0.3,4.4159,31.4917,9.938,27.0603,2.4638748168945312
0.6,5.2858,32.219,10.3806,27.5728,2.387025833129883
0.9,5.2782,32.4559,10.6618,27.8038,2.336265802383423
1.2,5.8595,32.7038,10.9264,27.9581,2.3120269775390625
1.5,5.5766,33.0956,11.0233,28.2239,2.2932288646698
1.8,5.5193,33.1088,11.0366,28.2655,2.2745847702026367
2.1,5.7415,33.2905,11.1854,28.4339,2.2682392597198486
2.4,5.9694,33.1489,11.1721,28.2462,2.260047435760498
2.7,5.7943,33.295,11.2502,28.4539,2.2546801567077637
